"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SH.ACS.ALON.Q1.ZS","Quintile: Health","Problems in accessing health care (not wanting to go alone) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.ALON.Q2.ZS","Quintile: Health","Problems in accessing health care (not wanting to go alone) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.ALON.Q3.ZS","Quintile: Health","Problems in accessing health care (not wanting to go alone) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.ALON.Q4.ZS","Quintile: Health","Problems in accessing health care (not wanting to go alone) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.ALON.Q5.ZS","Quintile: Health","Problems in accessing health care (not wanting to go alone) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.DIST.Q1.ZS","Quintile: Health","Problems in accessing health care (distance to health facility) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.DIST.Q2.ZS","Quintile: Health","Problems in accessing health care (distance to health facility) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.DIST.Q3.ZS","Quintile: Health","Problems in accessing health care (distance to health facility) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.DIST.Q4.ZS","Quintile: Health","Problems in accessing health care (distance to health facility) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.DIST.Q5.ZS","Quintile: Health","Problems in accessing health care (distance to health facility) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
